"","plot","cipa_1.2014A","cipa_2.2014A","cipa_3.2014A","cipa_1.2014B","cipa_2.2014B","cipa_3.2014B","cipa_1.2015A","cipa_2.2015A","cipa_3.2015A","cipa_1.2015B","cipa_2.2015B","cipa_3.2015B","cipa_1.2015C","cipa_2.2015C","cipa_3.2015C","cipa_1.2016A","cipa_2.2016A","cipa_3.2016A","cipa_1.2016B","cipa_2.2016B","cipa_3.2016B","cipa_1.2016C","cipa_2.2016C","cipa_3.2016C","obs_skill.2014A","obs_skill.2014B","obs_skill.2015A","obs_skill.2015B","obs_skill.2015C","obs_skill.2016A","obs_skill.2016B","obs_skill.2016C","doy.2014A","doy.2014B","doy.2015A","doy.2015B","doy.2015C","doy.2016A","doy.2016B","doy.2016C","hr.rise.2014A","hr.rise.2014B","hr.rise.2015A","hr.rise.2015B","hr.rise.2015C","hr.rise.2016A","hr.rise.2016B","hr.rise.2016C","HOURLYDRYBULBTEMPC.2014A","HOURLYDRYBULBTEMPC.2014B","HOURLYDRYBULBTEMPC.2015A","HOURLYDRYBULBTEMPC.2015B","HOURLYDRYBULBTEMPC.2015C","HOURLYDRYBULBTEMPC.2016A","HOURLYDRYBULBTEMPC.2016B","HOURLYDRYBULBTEMPC.2016C","HOURLYWindSpeed.2014A","HOURLYWindSpeed.2014B","HOURLYWindSpeed.2015A","HOURLYWindSpeed.2015B","HOURLYWindSpeed.2015C","HOURLYWindSpeed.2016A","HOURLYWindSpeed.2016B","HOURLYWindSpeed.2016C","surv_ct14","surv_ct15","surv_ct16"
"45",22,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",1,1,1,1,0,1,0,1,188,258,147,228,232,166,229,242,7.17516538944509,9.68200019664235,7.76681940827105,9.71166162331899,5.96387101531029,12.1958343938986,6.94630486375756,8.84923794892099,23.9,20.6,27.2,20.6,21.7,21.7,26.7,25,20,8,23,5,11,10,0,6,6,9,9
"47",23,"0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,1,1,1,0,1,0,1,NA,175,225,151,224,244,229,236,NA,12.8329701803128,8.6007954543829,9.92642640623781,7.95917731391059,10.8038087807761,5.96297153042422,9.95426098326842,NA,19.4,26.1,19.4,26.1,24.4,25,24.4,NA,5,8,14,9,6,0,11,NA,6,9,6
"49",24,"12","1","7","0","1","0","0","0","11","2","0","0","0","0","0","0","2","0","6","1","0",NA,NA,NA,1,1,1,1,0,1,0,NA,173,230,147,223,228,141,238,NA,7.76052478147878,9.64954828672939,9.96681940827105,10.7793145173788,8.02832828998566,6.99719194736746,6.09700894382265,NA,26.7,27.8,26.7,28.9,23.3,24.4,21.1,NA,6,8,18,17,7,6,6,NA,6,9,6
"51",25,"1","0","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,"1","0","0","0","0","0","1","0","0",1,1,1,1,NA,1,0,1,188,265,139,223,NA,141,235,246,9.79183205611176,6.97245989633931,10.9356157534652,9.92931451737881,NA,8.04719194736746,9.14122552507454,8.38489959147241,25,22.8,16.1,28.9,NA,25,27.2,23.3,16,14,7,11,NA,8,14,20,6,6,9
"53",26,"11","3","5","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","11","0","0","4","2","0",1,1,1,0,1,1,1,1,183,231,147,228,258,146,229,242,6.93330137292544,8.0125911677546,6.95015274160438,9.54499495665232,6.35360801908705,8.40143191933632,8.37963819709089,6.31590461558766,23.9,27.8,26.7,20.6,25.6,25,27.2,23.3,5,10,18,5,13,13,3,7,6,9,9
"55",27,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",1,1,1,1,1,1,1,1,147,231,139,182,226,146,229,242,12.6864466328753,7.09592450108793,10.1189490867986,9.079132302271,9.26880320502652,9.03476525266965,7.02963819709089,7.88257128225433,27.2,27.2,15,24.4,30.6,26.1,26.7,23.9,6,8,8,7,13,18,0,5,6,9,9
"57",28,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0",1,1,1,1,1,1,0,1,147,265,160,231,237,146,238,244,13.4697799662087,11.4557932296726,8.76906570295493,9.15083193143209,6.06237962206205,7.51809858600299,8.58034227715598,10.8253907480505,26.7,21.1,24.4,22.8,21.1,23.3,22.2,23.9,5,8,6,13,6,11,6,7,6,9,9
"59",29,"0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,"0","0","0","0","0","0",NA,NA,NA,1,1,1,1,NA,1,0,NA,188,258,166,225,NA,166,236,NA,8.67516538944509,8.59866686330901,4.89583515246709,9.77233851095041,NA,11.229167727232,7.02092764993509,NA,23.9,20.6,16.7,32.2,NA,21.1,26.1,NA,18,10,6,0,NA,15,14,NA,6,6,6
"61",30,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,1,1,1,1,0,1,0,NA,147,225,138,172,228,234,237,NA,13.6864466328753,9.5507954543829,12.5020983170138,12.3993313066165,8.67832828998566,9.4948582782348,7.3672994926903,NA,26.7,26.7,13.9,24.4,21.7,27.8,20.6,NA,5,10,7,21,8,21,15,NA,6,9,6
"63",31,"0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,"0","0","0","0","0","2","0","0","0",1,1,1,NA,NA,1,0,0,183,265,224,NA,NA,137,229,244,7.81663470625877,10.1557932296726,7.59251064724392,NA,NA,13.2803679526514,7.96297153042422,9.24205741471715,23.9,22.8,26.1,NA,NA,15.6,27.2,23.3,0,15,9,NA,NA,5,5,7,6,3,9
