"","plot","hele_1.2015A","hele_2.2015A","hele_3.2015A","hele_1.2015B","hele_2.2015B","hele_3.2015B","hele_1.2016A","hele_2.2016A","hele_3.2016A","hele_1.2016B","hele_2.2016B","hele_3.2016B","doy.2015A","doy.2015B","doy.2016A","doy.2016B","liatris1_num.2015A","liatris2_num.2015A","liatris3_num.2015A","liatris1_num.2015B","liatris2_num.2015B","liatris3_num.2015B","liatris1_num.2016A","liatris2_num.2016A","liatris3_num.2016A","liatris1_num.2016B","liatris2_num.2016B","liatris3_num.2016B","surv_ct15","surv_ct16","totgrass.z","bunchgrass.z","oaks.z","canopy.z","numwood.z","mounds.z","blowouts.z","plotlvl_liatris.z","plotlvl_milkweed.z","litter.z","DY_pre2015","DY_ge2015","DY_pre2014","DY_ge2014","UDY_ge2015","burned_pre2015","harvest_pre2015","type_pre2015","burnGraze_ge2015","harvest_ge2015","type_ge2015","elev_CV.z"
"25",25,"0","0","0",NA,NA,NA,"0","0","0","0","0","0",223,NA,235,246,0,0,0,NA,NA,NA,0,0,0,0,0,0,3,6,-0.725852609722297,-0.831723968778559,-0.675580367531473,1.33421281506906,-0.102050676816821,-0.54209406186269,-0.130188910980824,-0.760519357065696,-0.519633160964472,1.5272738026658,0,0,0,0,0,0,0,"none",0,0,"none",1.05143545493301
"26",26,"0","0","0","0","0","0","0","0","0","0","0","0",228,258,229,242,0,0,0,0,0,0,0,0,0,0,0,0,6,6,-0.973879958592813,-0.831723968778559,-0.570424737180973,1.91725924476316,0.270234075233128,-0.54209406186269,-0.130188910980824,-0.798147105355746,-0.519633160964472,1.5272738026658,1,0,1,0,0,0,1,"thinned",0,0,"none",-0.587142525227022
"27",27,"0","0","0","0","1","0","0","0","0","0","0","0",226,232,229,242,10.5,0,3,0,10.5,3,10.5,10.5,10.5,0,20,3,6,6,-0.725852609722297,-0.831723968778559,0.323398120798274,-0.755036891334796,-1.10435577848976,-0.54209406186269,-0.130188910980824,0.328589738552354,-0.519633160964472,0.539863486272817,1,0,1,0,0,0,1,"clearcut",0,0,"none",-0.745582442229194
"28",28,"0","0","0","0","0","0","0","0","0","0","0","0",231,237,238,244,0,0,0,0,0,0,0,0,0,0,0,0,6,6,-1.08661966262487,-0.831723968778559,-0.675580367531473,0.299999505254528,0.642518827283076,-0.54209406186269,-0.130188910980824,-0.798147105355746,-0.519633160964472,1.78208936818657,0,0,0,0,0,0,0,"none",0,0,"none",-1.12497305193692
"29",29,"0","0","0",NA,NA,NA,"0","0","0",NA,NA,NA,225,NA,236,NA,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,3,3,0.80740736511362,0.168152479990775,-0.675580367531473,-0.609275283911271,-1.27617951020512,-0.54209406186269,-0.130188910980824,-0.690639253098462,-0.519633160964472,-0.957177961161705,0,0,0,0,0,0,0,"none",0,0,"none",-1.26217366299324
"30",30,"0","0","0","0","0","0","0","0","0","0","0","0",228,244,234,237,0,0,0,0,0,0,0,0,0,0,0,0,6,6,-0.049414385529981,0.279249863187368,-0.675580367531473,0.473525228377772,0.15568492075622,0.904034784402512,-0.130188910980824,-0.798147105355746,-0.519633160964472,1.04949461731436,1,0,1,0,0,0,1,"thinned",0,0,"none",-0.987559503908307
"31",31,"0","0","0",NA,NA,NA,"0","0","0","0","0","0",224,NA,229,244,0,0,3,NA,NA,NA,0,0,0,0,0,0,3,6,-0.906236136173582,-0.831723968778559,-0.623002552356223,0.473525228377772,0.413420518329262,-0.54209406186269,-0.130188910980824,-0.702401250795917,0.727486425350261,0.76282710610349,1,0,1,0,0,0,0,"pines planted",0,0,"none",-1.05354059716417
"32",32,"0","0","0","0","0","0","0","0","0","0","0","0",224,232,236,242,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0.446640312211051,0.612542012777146,-0.675580367531473,0.00153526148254819,-0.0161388109591403,-0.0600511131076228,-0.130188910980824,-0.798147105355746,-0.103926632192894,-0.479398775810261,0,0,0,0,0,0,0,"none",0,0,"none",-1.22070424526464
"33",33,"4","1","4","1","4","3","1","0","2","0","0","0",222,228,234,242,20,10.5,20,20,20,20,10.5,3,10.5,0,3,0,6,6,2.11518793188543,3.00113575150389,0.375975935973524,-0.65786248638578,-1.07571848987053,-0.54209406186269,-0.130188910980824,1.86272062138388,-0.519633160964472,-0.638658504260743,0,1,0,1,0,0,0,"none",0,1,"harvest",-0.738049702284249
"34",34,"0","0","0",NA,NA,NA,"0","0","0","0","0","0",231,NA,234,237,0,0,0,NA,NA,NA,0,0,0,0,0,0,3,6,0.0407773776956611,0.00150640519588598,-0.675580367531473,0.036240406107197,-1.3620913760628,-0.0600511131076228,-0.130188910980824,-0.760519357065696,-0.519633160964472,1.43171796559551,1,0,1,0,0,0,1,"clearcut",0,0,"none",-1.03124220470107
